Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels,recommendation
0,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.49,"perfect,amazing,old,new,favorite","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,System Shock: Enhanced Edition,System Shock 2"
1,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.12,"tony,pro,awesome,hard,new","Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,1 Player,7.09,"gta,san,new,grand,realistic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
3,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,1-2 ,9.57,"fighting,beautiful,easy,awesome,amazing","Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,1 Player,7.09,"gta,san,new,grand,realistic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
5,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.19,"super,new,perfect,easy,amazing","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
6,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.15,"super,new,original,amazing,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
7,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,Up to 30 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
8,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PlayStation3,Up to 16 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
9,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,Xbox360,Up to 16 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
10,Tony Hawk's Pro Skater 2,2000,Treyarch,Sports;Alternative;Skateboarding,Dreamcast,not specified,8.12,"tony,pro,awesome,hard,new","Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
11,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,No Online Multiplayer,9.13,"new,perfect,beautiful,wild,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
12,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-2 ,8.17,"new,tony,pro,awesome,fantastic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
13,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,not specified,9.44,"perfect,single,classic,dark,n64","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Syberia,Hyper Light Drifter,Dyad"
14,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,Up to 30 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
15,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,1 Player,9.35,"metroid,prime,perfect,amazing,awesome","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Myst III: Exile,Myst V: End of Ages"
16,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,1 Player,8.36,"grand,gta,san,u,awesome","Syphon Filter: Dark Mirror,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
